동나다	pv
동트다	pv
되갚다	pv
되뇌다	pv
되돌다	pv
되묻다	pv
되받다	pv
되살다	pv
되쏘다	pv
되씹다	pv
되읽다	pv
되잖다	pv
되잡다	pv
되찾다	pv
되치다	pv
되풀다	pv
두껍다	pv
두르다	pv
둘리다	pv
둥굴다	pv
둥글다	pv
뒤끓다	pv
뒤덮다	pv
뒤돌다	pv
뒤서다	pv
뒤섞다	pv
뒤엎다	pv
뒤잇다	pv
뒤좇다	pv
뒤지다	pv
뒤쫓다	pv
뒤채다	pv
뒤치다	pv
뒤틀다	pv
뒹굴다	pv
드넓다	pv
드높다	pv
드물다	pv
득하다	pv
들끓다	pv
들뜨다	pv
들르다	pv
들리다	pv
들볶다	pv
들오다	pv
들추다	pv
들치다	pv
들키다	pv
디나다	pv
디디다	pv
디밀다	pv
딩굴다	pv
따갑다	pv
따먹다	pv
따습다	pv
따시다	pv
따오다	pv
땀나다	pv
때늦다	pv
때우다	pv
떠가다	pv
떠내다	pv
떠돌다	pv
떠들다	pv
떠맡다	pv
떠먹다	pv
떠메다	pv
떠밀다	pv
떠보다	pv
떠오다	pv
떠지다	pv
떨구다	pv
떼밀다	pv
똑같다	pv
뚫리다	pv
뛰놀다	pv
뛰치다	pv
뜨겁다	pv
뜨습다	pv
뜨이다	pv
뜯기다	pv
뜻하다	pv
띄우다	pv
띙하다	pv
띠우다	pv
띵기다	pv
띵하다	pv
마렵다	pv
마르다	pv
마시다	pv
마추다	pv
막가다	pv
막히다	pv
만나다	pv
만들다	pv
만지다	pv
만하다	pv
말갛다	pv
말하다	pv
맘먹다	pv
맛내다	pv
맛디다	pv
맛보다	pv
망보다	pv
맞닿다	pv
맞대다	pv
맞받다	pv
맞붙다	pv
맞서다	pv
맞잡다	pv
맞추다	pv
맞히다	pv
맡기다	pv
매섭다	pv
매이다	pv
맴돌다	pv
맹글다	pv
맺히다	pv
머금다	pv
머물다	pv
먹히다	pv
멈추다	pv
멍들다	pv
메꾸다	pv
메우다	pv
멕이다	pv
명하다	pv
모내다	pv
모루다	pv
모르다	pv
모심다	pv
모으다	pv
모이다	pv
목메다	pv
목쉬다	pv
몰리다	pv
몸담다	pv
못가다	pv
못쓰다	pv
무겁다	pv
무덥다	pv
무디다	pv
묵히다	pv
물들다	pv
물리다	pv
물먹다	pv
물밀다	pv
뭉개다	pv
뭉치다	pv
뭘하다	pv
뭣하다	pv
믿기다	pv
밀치다	pv
밑돌다	pv
밑지다	pv
바꾸다	pv
바뀌다	pv
바래다	pv
바수다	pv
바치다	pv
박히다	pv
받들다	pv
받잡다	pv
받치다	pv
받히다	pv
발갛다	pv
발르다	pv
발하다	pv
밝히다	pv
밟히다	pv
밤늦다	pv
밭치다	pv
배우다	pv
배이다	pv
밴하다	pv
버리다	pv
버티다	pv
번지다	pv
벌겋다	pv
벌이다	pv
벗기다	pv
베끼다	pv
벼르다	pv
변하다	pv
보얗다	pv
보채다	pv
보태다	pv
보하다	pv
본뜨다	pv
본받다	pv
봉하다	pv
봐주다	pv
뵈이다	pv
부딪다	pv
부비다	pv
부시다	pv
부풀다	pv
부하다	pv
불나다	pv
불붙다	pv
불타다	pv
붉히다	pv
붐비다	pv
붙들다	pv
붙박다	pv
붙안다	pv
붙이다	pv
붙잡다	pv
비기다	pv
비끼다	pv
비비다	pv
비오다	pv
비좁다	pv
비집다	pv
비추다	pv
비치다	pv
비키다	pv
빈하다	pv
