품사	단어
NC	보험 대리점
NC	온라인 서점
NC	온라인서점
NC	가게
NC	뷔페
NC	한식뷔페
NC	한식 뷔페
NC	분식
NC	테마카페
NC	테마 카페
NC	포차
NC	포장마차
NC	포장 마차
NC	레스토랑
